date,symbol,open,high,low,close,volume,values
2019-01-02,2330,226.50,226.50,219.00,219.50,32900482.00,7276419230.00
2019-01-03,2330,214.00,218.00,214.00,215.50,34615620.00,7459051790.00
2019-01-04,2330,211.50,211.50,206.50,208.00,67043521.00,13987136785.00
2019-01-07,2330,212.00,214.00,211.00,213.00,35695176.00,7591116569.00
2019-01-08,2330,212.00,212.50,210.00,211.00,23794481.00,5019703557.00
2019-01-09,2330,212.00,216.50,211.00,215.50,51255446.00,11006827093.00
2019-01-10,2330,216.00,216.50,214.50,216.00,20832593.00,4491377349.00
2019-01-11,2330,219.00,220.50,218.00,220.50,28658288.00,6296719320.00
2019-01-14,2330,218.50,220.00,217.00,218.50,17612296.00,3844735324.00
2019-01-15,2330,216.50,221.00,215.50,221.00,42990923.00,9399209983.00
2019-01-16,2330,218.50,220.00,217.50,217.50,30038282.00,6563789758.00
2019-01-17,2330,218.00,221.00,218.00,220.50,21163986.00,4646131841.00
2019-01-18,2330,219.00,220.00,217.50,218.50,52677569.00,11530053787.00
2019-01-21,2330,220.00,223.00,220.00,221.00,32515866.00,7208829658.00
2019-01-22,2330,220.00,223.00,219.00,223.00,30958483.00,6854867566.00
2019-01-23,2330,221.50,222.00,220.00,220.50,18671213.00,4121110926.00
2019-01-24,2330,222.50,222.50,220.50,222.50,31348924.00,6958753608.00
2019-01-25,2330,226.50,227.00,225.00,226.00,48039764.00,10870045150.00
2019-01-28,2330,229.50,229.50,228.00,229.00,29134257.00,6665379096.00
2019-01-29,2330,222.50,225.00,222.00,222.50,42566520.00,9486156460.00
2019-01-30,2330,220.50,221.50,220.00,221.00,51889945.00,11453957730.00
2019-02-11,2330,228.00,229.00,226.50,228.00,81360106.00,18546167132.00
2019-02-12,2330,230.00,230.00,229.00,230.00,30125670.00,6921488930.00
2019-02-13,2330,232.00,232.00,228.50,229.00,28634925.00,6575201825.00
2019-02-14,2330,229.50,230.00,226.00,227.00,23647751.00,5392943977.00
2019-02-15,2330,229.00,229.00,226.50,227.00,22369799.00,5093773373.00
2019-02-18,2330,229.00,230.50,228.50,230.00,18163916.00,4169729625.00
2019-02-19,2330,230.00,230.50,229.00,229.00,18423023.00,4228108427.00
2019-02-20,2330,231.50,234.50,231.00,234.50,31887710.00,7430197670.00
2019-02-21,2330,235.50,236.50,234.50,236.50,34013489.00,8013908284.00
2019-02-22,2330,235.50,236.50,234.00,236.50,22032163.00,5187054985.00
2019-02-25,2330,237.50,239.00,236.00,238.00,25227138.00,5995746054.00
2019-02-26,2330,239.00,240.00,236.50,239.50,24586789.00,5864298571.00
2019-02-27,2330,238.50,239.50,237.00,239.00,37947889.00,9052540803.00
2019-03-04,2330,239.50,239.50,234.50,235.50,45164513.00,10691130829.00
2019-03-05,2330,234.00,234.50,232.50,233.00,23708407.00,5533050748.00
